id:int,name:string,time:string
4411, Practicum in Operating Systems, Mon/Wed/Fri
4414, Systems Programming, Tues/Thurs
4420, Computer Architecture, Tues/Thurs
4450, Introduction to Computer Networks, Tues/Thurs
4620, Introduction to Computer Graphics, Mon/Wed/Fri
4621, Computer Graphics Practicum, Other
4670, Introduction to Computer Vision, Mon/Wed/Fri
4700, Foundations of Artificial Intelligence, Mon/Wed/Fri
4701, Practicum in Artificial Intelligence, Other
4740, Natural Language Processing, Mon/Wed/Fri
4744, Computational Linguistics I, Tues/Thurs
4750, Foundations of Robotics, Tues/Thurs
4754, Re-Designing Robots, Tues/Thurs
4758, Autonomous Mobile Robots, Tues/Thurs
4775, Computational Genetics and Genomics, Mon/Wed/Fri
4780, Introduction to Machine Learning, Tues/Thurs
4783, Mathematical Foundations of Machine Learning, Mon/Wed/Fri
4786, Machine Learning for Data Science, Mon/Wed/Fri
4787, Principles of Large-Scale Machine Learning Systems, Tues/Thurs
4789, Introduction to Reinforcement Learning, Tues/Thurs
4810, Introduction to Theory of Computing, Mon/Wed/Fri
4812, Quantum Information Processing, Tues/Thurs
4814, Introduction to Computational Complexity, Tues/Thurs
4820, Introduction to Analysis of Algorithms, Mon/Wed/Fri
4830, Introduction to Cryptography, Mon/Wed/Fri
4850, Mathematical Foundations for the Information Age, Mon/Wed/Fri
4852, Networks II Market Design, Other
4860, Applied Logic, Mon/Wed/Fri
4990, International Research Internship, Other
4997, Practical Training in Computer Science, Tues/Thurs
4998, Team Projects, Other
4999, Independent Reading and Research, Other
5094, Introduction to Blockchains Cryptocurrencies and Smart Contracts, Mon/Wed/Fri
5110, Programming Languages and Logics, Mon/Wed/Fri
5112, Algorithms and Data Structures for Applications, Mon/Wed/Fri
5114, Software-Defined Networking, Mon/Wed/Fri
5120, Introduction to Compilers, Mon/Wed/Fri
5121, Practicum in Compilers, Other
5135, Computational Integer Programming, Tues/Thurs
5150, Software Engineering, Tues/Thurs
5152, Advanced Topics in Computer Game Architecture, Mon/Wed/Fri
5154, Software Testing, Mon/Wed/Fri
5160, Formal Verification, Mon/Wed/Fri
5199, Competition Programming and Problem Solving Seminar, Other
5220, Applications of Parallel Computers, Tues/Thurs
5223, Numerical Analysis Linear and Nonlinear Problems, Tues/Thurs
5304, Data Science in the Wild, Mon/Wed/Fri
5306, Crowdsourcing and Human Computation, Tues/Thurs
5320, Introduction to Database Systems, Mon/Wed/Fri
5321, Practicum in Database Systems, Mon/Wed/Fri
5356, Building Startup Systems, Mon/Wed/Fri
5410, Operating Systems, Tues/Thurs
5411, Practicum in Operating Systems, Mon/Wed/Fri
5412, Cloud Computing, Tues/Thurs
5414, Distributed Computing Principles, Tues/Thurs
5420, Advanced Computer Architecture, Mon/Wed/Fri
5424, Developing and Designing Interactive Devices, Mon/Wed/Fri
5430, System Security, Mon/Wed/Fri
5431, Practicum in System Security, Mon/Wed/Fri
5432, Advanced System Security, Mon/Wed/Fri
5433, Blockchains Cryptocurrencies and Smart Contracts, Mon/Wed/Fri
5435, Security and Privacy Concepts in the Wild, Tues/Thurs
5436, Privacy in the Digital Age, Tues/Thurs
5439, Practicum in Computer Security, Other
5450, Networked and Distributed Systems, Mon/Wed/Fri
5620, Introduction to Computer Graphics, Tues/Thurs
5621, Computer Graphics Practicum, Tues/Thurs
5625, Interactive Computer Graphics, Tues/Thurs
5650, Virtual and Augmented Reality, Mon/Wed/Fri
5660, Signal Processing, Mon/Wed/Fri
5670, Introduction to Computer Vision, Mon/Wed/Fri
5678, Topics in Mixed Reality, Mon/Wed/Fri
5682, HCI and Design, Tues/Thurs
5700, Foundations of Artificial Intelligence, Mon/Wed/Fri
5701, Practicum in Artificial Intelligence, Tues/Thurs
5726, Learning Inference and Decision Making from Data, Mon/Wed/Fri
5727, Optimization Methods, Tues/Thurs
5740, Natural Language Processing, Mon/Wed/Fri
5750, Foundations of Robotics, Tues/Thurs
5758, Autonomous Mobile Robots, Tues/Thurs
5780, Introduction to Machine Learning, Mon/Wed/Fri
5781, Machine Learning Engineering, Tues/Thurs
5783, Mathematical Foundations of Machine Learning, Tues/Thurs
5785, Applied Machine Learning, Mon/Wed/Fri
5786, Machine Learning for Data Science, Tues/Thurs
5787, Deep Learning, Mon/Wed/Fri
5789, Introduction to Reinforcement Learning, Tues/Thurs
5820, Introduction to Analysis of Algorithms, Tues/Thurs
5830, Cryptography, Tues/Thurs
5831, Security Protocols and Privacy, Tues/Thurs
5846, Decision Theory I, Mon/Wed/Fri
5850, Mathematical Foundations for the Information Age, Mon/Wed/Fri
5854, Networks and Market, Tues/Thurs
5998, Master of Engineering Internship, Other
5999, Master of Engineering Project, Other
6110, Advanced Programming Languages, Tues/Thurs
6113, Language-Based Security, Mon/Wed/Fri
6114, Software-Defined Networkin, Mon/Wed/Fri
6115, Certified Software Systems, Tues/Thurs
6117, Category Theory for Computer Scientists, Tues/Thurs
6120, Advanced Compilers, Mon/Wed/Fri
6156, Runtime Verification, Tues/Thurs
6172, Program Synthesis, Tues/Thurs
6180, Introduction to Constructive Type Theory, Mon/Wed/Fri
6182, Foundations of Probabilistic Programming, Tues/Thurs
6210, Matrix Computations, Tues/Thurs
6220, Data-Sparse Matrix Computations, Tues/Thurs
6241, Numerical Methods for Data Science, Mon/Wed/Fri
6320, Advanced Database Systems, Tues/Thurs
6360, Educational Technology, Tues/Thurs
6382, Data Science for Social Change, Tues/Thurs
6410, Advanced Systems CR, Tues/Thurs
6411, Systems Principles, Mon/Wed/Fri
6431, Security and Privacy Technologies, Tues/Thurs
6450, Advanced Computer Networking, Tues/Thurs
6465, Emerging Cloud Technologies and Systems Challenges, Mon/Wed/Fri
6466, Cryptocurrencies and Smart Contracts, Tues/Thurs
6480, Systems Software and Formal Methods, Tues/Thurs
6670, Computer Vision, Mon/Wed/Fri
6682, Computation for Content Creation, Tues/Thurs
6700, Advanced Artificial Intelligence, Tues/Thurs
6740, Advanced Language Technologie, Mon/Wed/Fri
6741, Topics in Natural Language Processing and Machine Learning, Tues/Thurs
6742, Natural Language Processing and Social Interaction, Tues/Thurs
6751, Robot Manipulation, Tues/Thurs
6752, Formal Methods for Robotics, Mon/Wed/Fri
6764, Reasoning about Knowledge, Mon/Wed/Fri
6780, Advanced Machine Learning, Mon/Wed/Fri
6781, Theoretical Foundations of Machine Learning, Mon/Wed/Fri
6783, Machine Learning Theory, Tues/Thurs
6784, Advanced Topics in Machine Learning, Tues/Thurs
6785, Deep Probabilistic and Generative Models, Tues/Thurs
6787, Advanced Machine Learning Systems, Mon/Wed/Fri
6788, Advanced Topic Modeling, Tues/Thurs
6789, Foundations of Reinforcement Learning, Tues/Thurs
6802, Lattices Geometry Cryptography and Algorithms, Mon/Wed/Fri
6810, Theory of Computing, Tues/Thurs
6815, Pseudorandomness and Combinatorial Constructions, Tues/Thurs
6817, Special Topics in Complexity Theory, Mon/Wed/Fri
6820, Analysis of Algorithms, Tues/Thurs
6840, Algorithmic Game Theory, Tues/Thurs
6850, The Structure of Information Networks, Tues/Thurs
6860, Logics of Programs, Tues/Thurs
6861, Introduction to Kleene Algebra, Mon/Wed/Fri
7090, Computer Science Colloquium, Other
7190, Seminar in Programming Languages, Other
7194, Great Works in Programming Languages, Tues/Thurs
7290, Seminar on Scientific Computing and Numerics, Other
7390, Database Seminar, Other
7420, Special Topics in Computer Systems, Mon/Wed/Fri
7450, Computer Networks a Decade from Now, Mon/Wed/Fri
7490, Systems Research Seminar, Other
7491, The Great Instruction Set Architectures, Mon/Wed/Fri
7492, Special Topics in Computer Systems, Tues/Thurs
7493, Compute, Tues/Thurs
7620, Special Topics in Computer Graphics, Tues/Thurs
7690, Computer Graphics and Vision Seminar, Tues/Thurs
7740, Special Topics in Natural Language Processing, Mon/Wed/Fri
7790, Seminar in Artificial Intelligence, Other
7792, Special Topics in Machine Learning, Mon/Wed/Fri
7794, Seminar in Natural Language Understanding, Other
7796, Robotics Seminar, Other
7822, Special Topics in Algorithms, Mon/Wed/Fri
7850, Seminar on Information Networks, Other
7890, Seminar in Theory of Algorithms and Computing, Tues/Thurs
7893, Cryptography Seminar, Other
7999, Independent Research, Other
